Issued date,Account ID,Bill to name,Billing Address,Billing City,Billing State,Billing Zip,Customer Name,Sales Rep,Product ID,Product,Sales order Number,SO Status,Sales person,So c1,So c2,Sales Order Custom Field 3,So c4,So c5,Sales Order Custom Field 6,Sales Order ID,SO Item ID,SO Item Product Number,Customer ID,Product description,Sales Order Item Description,Soitem type,BOL,Carrier name,Company id,Company name,Ship status,SO Number,Status ID,Account ID,Sales Rep Initials,Fulfilled Quantity,Last Unit Price,So ct,Unit price,Total price,Total cost,Sales Order Line Item
01-03-2025,1437,Bud's Glass Joint,907 N 5th St,Phoenix,Arizona,85004,Bud's Glass Joint,,131,FG- BX12 -release+relax,5815,Fulfilled,JSimmons,,,,,,,10785,32981,FG- BX12 -release+relax,1224,BX12 - release+relax,BX12 - release+relax,Sale,94757,UPS,1,CWL Brands,Shipped,5815,30,1437,js,3.00,$54.0000,1.00,$54.00,$162.00,$41.23,2.00
01-03-2025,1437,Bud's Glass Joint,907 N 5th St,Phoenix,Arizona,85004,Bud's Glass Joint,,82,FG- BX12 Focus+Flow,5815,Fulfilled,JSimmons,,,,,,,10785,32980,FG- BX12 Focus+Flow,1224,BX12 Focus + Flow,BX12 Focus + Flow,Sale,94757,UPS,1,CWL Brands,Shipped,5815,30,1437,js,10.00,$48.0000,1.00,$54.00,$540.00,$145.94,1.00
01-03-2025,1437,Bud's Glass Joint,907 N 5th St,Phoenix,Arizona,85004,Bud's Glass Joint,,11,Shipping,5815,Fulfilled,JSimmons,,,,,,,10785,32982,Shipping,1224,Shipping,Shipping,Shipping,94757,UPS,1,CWL Brands,Shipped,5815,30,1437,js,1.00,$0.0000,1.00,$20.00,$20.00,$0.05,3.00
01-03-2025,1437,Bud's Glass Joint,907 N 5th St,Phoenix,Arizona,85004,Bud's Glass Joint,,11,Shipping,5815,Fulfilled,JSimmons,,,,,,,10785,33032,Shipping,1224,Shipping,Shipping Tracking: 1Z90V7160310697594,Shipping,94757,UPS,1,CWL Brands,Shipped,5815,30,1437,js,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,5.00
01-04-2025,242,Smoke N Stuff,1961 E Charleston Blvd,Las Vegas,Nevada,89104,Smoke N Stuff,,175,KB-039,5822,Fulfilled,Jared,,,,,,,10820,33074,KB-039,114,"Acrylic kit- White(4 FF, 2 Zoom, 1 RR,1 mango)","Acrylic kit- White(4 FF, 2 Zoom, 1 RR,1 mango)",Sale,95297,UPS,1,CWL Brands,Shipped,5822,30,242,JL,1.00,$0.0000,1.00,$299.00,$299.00,$140.76,1.00
01-04-2025,242,Smoke N Stuff,1961 E Charleston Blvd,Las Vegas,Nevada,89104,Smoke N Stuff,,11,Shipping,5822,Fulfilled,Jared,,,,,,,10820,33202,Shipping,114,Shipping,Shipping Tracking: 1Z90V7160335173700,Shipping,95297,UPS,1,CWL Brands,Shipped,5822,30,242,JL,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,2.00
01-06-2025,957,Cortlandt Smoke and Vape,2153 Albany Post Rd # 1,Montrose,New York,10548,Cortlandt Smoke and Vape,,74,CC Processing,5859,Fulfilled,BrandonG,,,,,,,10875,33240,CC Processing,793,Credit Card Processing Fee,Credit Card Processing Fee,Sale,96386,UPS,1,CWL Brands,Shipped,5859,30,957,BG,1.00,$0.0000,1.00,$5.40,$5.40,$0.00,3.00
01-06-2025,957,Cortlandt Smoke and Vape,2153 Albany Post Rd # 1,Montrose,New York,10548,Cortlandt Smoke and Vape,,82,FG- BX12 Focus+Flow,5859,Fulfilled,BrandonG,,,,,,,10875,33238,FG- BX12 Focus+Flow,793,BX12 Focus + Flow,BX12 Focus + Flow,Sale,96386,UPS,1,CWL Brands,Shipped,5859,30,957,BG,5.00,$48.0000,1.00,$54.00,$270.00,$72.95,1.00
01-06-2025,957,Cortlandt Smoke and Vape,2153 Albany Post Rd # 1,Montrose,New York,10548,Cortlandt Smoke and Vape,,11,Shipping,5859,Fulfilled,BrandonG,,,,,,,10875,33239,Shipping,793,Shipping,Shipping,Shipping,96386,UPS,1,CWL Brands,Shipped,5859,30,957,BG,1.00,$0.0000,1.00,$15.00,$15.00,$0.05,2.00
01-06-2025,957,Cortlandt Smoke and Vape,2153 Albany Post Rd # 1,Montrose,New York,10548,Cortlandt Smoke and Vape,,11,Shipping,5859,Fulfilled,BrandonG,,,,,,,10875,33241,Shipping,793,Shipping,Shipping Tracking: 1Z90V7160308328862,Shipping,96386,UPS,1,CWL Brands,Shipped,5859,30,957,BG,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,4.00
01-06-2025,957,Cortlandt Smoke and Vape,2153 Albany Post Rd # 1,Montrose,New York,10548,Cortlandt Smoke and Vape,,11,Shipping,5859,Fulfilled,BrandonG,,,,,,,10875,33388,Shipping,793,Shipping,Shipping Tracking: 1Z90V7160309124811,Shipping,96386,UPS,1,CWL Brands,Shipped,5859,30,957,BG,1.00,$0.0000,1.00,$0.00,$0.00,$0.00,5.00
01-06-2025,874,Aimrok Nashville,4043 Nolensville Pike,Nashville,Tennessee,37211,Aimrok Nashville,Zalak Zaveri,81,FG- MC12 Focus+ Flow,5575,Fulfilled,Jared,,,,,,,10031,30969,FG- MC12 Focus+ Flow,712,MC12 Focus + Flow,MC12 Focus + Flow,Sale,96447,LTL Freight Carrier,1,CWL Brands,Shipped,5575,30,874,JL,56.00,$576.0000,1.00,$504.00,"$28,224.00","$9,805.06",1.00
01-06-2025,874,Aimrok Nashville,4043 Nolensville Pike,Nashville,Tennessee,37211,Aimrok Nashville,Zalak Zaveri,173,FG- MC12 Zoom,5575,Fulfilled,Jared,,,,,,,10031,30971,FG- MC12 Zoom,712,FG-Zoom Citrus 80mg-2 oz Kanva Botanicals,FG-Zoom Citrus 80mg-2 oz Kanva Botanicals,Sale,96447,LTL Freight Carrier,1,CWL Brands,Shipped,5575,30,874,JL,5.00,$504.0000,1.00,$439.20,"$2,196.00",$586.44,3.00
01-06-2025,874,Aimrok Nashville,4043 Nolensville Pike,Nashville,Tennessee,37211,Aimrok Nashville,Zalak Zaveri,132,FG- MC8 release+relax,5575,Fulfilled,Jared,,,,,,,10031,30970,FG- MC8 release+relax,712,MC8 release+relax,MC8 release+relax,Sale,96447,LTL Freight Carrier,1,CWL Brands,Shipped,5575,30,874,JL,5.00,$432.0000,1.00,$350.40,"$1,752.00",$549.75,2.00
